Time,Type,Target,Status,Details
2025-05-02 23:41:20,PORT,10.17.203.153,open,"{""port"":135}"
2025-05-02 23:41:20,PORT,10.17.70.131,open,"{""port"":135}"
2025-05-02 23:41:21,PORT,10.17.202.162,open,"{""port"":445}"
2025-05-02 23:41:21,PORT,10.17.202.162,open,"{""port"":139}"
2025-05-02 23:41:21,PORT,10.17.202.162,open,"{""port"":135}"
2025-05-02 23:41:21,SERVICE,10.17.203.153,identified,"{""domain_name"":""WORKGROUP"",""mac"":""fe:a5:6c:0b:2a:1d"",""port"":139,""server_service"":""LAPTOP-I65EIS9O"",""workstation_service"":""LAPTOP-I65EIS9O""}"
2025-05-02 23:41:21,SERVICE,10.17.70.131,identified,"{""domain_name"":""WORKGROUP"",""mac"":""ec:2e:98:c8:8f:2b"",""port"":139,""server_service"":""A002DESKOP"",""workstation_service"":""A002DESKOP""}"
2025-05-02 23:41:21,SERVICE,10.17.202.162,identified,"{""domain_name"":""WORKGROUP"",""mac"":""f0:77:c3:1c:4b:d4"",""port"":139,""server_service"":""LAPTOP-9JOMRULV"",""workstation_service"":""LAPTOP-9JOMRULV""}"
2025-05-02 23:41:26,PORT,10.17.193.231,open,"{""port"":139}"
2025-05-02 23:41:26,PORT,10.17.26.113,open,"{""port"":139}"
2025-05-02 23:41:26,PORT,10.17.26.113,open,"{""port"":445}"
2025-05-02 23:41:26,PORT,10.17.193.231,open,"{""port"":445}"
2025-05-02 23:41:26,PORT,10.17.193.231,open,"{""port"":135}"
2025-05-02 23:41:26,PORT,10.17.26.113,open,"{""port"":135}"
2025-05-02 23:41:26,PORT,10.17.140.168,open,"{""port"":139}"
2025-05-02 23:41:26,PORT,10.17.140.168,open,"{""port"":445}"
2025-05-02 23:41:26,PORT,10.17.140.168,open,"{""port"":135}"
2025-05-02 23:41:27,SERVICE,10.17.193.231,identified,"{""domain_name"":""WORKGROUP"",""mac"":""d8:f3:bc:7f:f7:c5"",""port"":139,""server_service"":""LAPTOP-BF0EGQCA"",""workstation_service"":""LAPTOP-BF0EGQCA""}"
2025-05-02 23:41:27,SERVICE,10.17.140.168,identified,"{""domain_name"":""WORKGROUP"",""mac"":""04:e8:b9:38:2a:5c"",""port"":139,""server_service"":""LAPTOP-3GCDN1EM"",""workstation_service"":""LAPTOP-3GCDN1EM""}"
2025-05-02 23:41:29,PORT,10.17.116.77,open,"{""port"":445}"
2025-05-02 23:41:29,PORT,10.17.116.77,open,"{""port"":139}"
2025-05-02 23:41:29,PORT,10.17.116.77,open,"{""port"":135}"
2025-05-02 23:41:30,SERVICE,10.17.116.77,identified,"{""domain_name"":""WORKGROUP"",""mac"":""28:c5:d2:0c:46:7b"",""port"":139,""server_service"":""FIREBAT"",""workstation_service"":""FIREBAT""}"
2025-05-02 23:41:32,PORT,10.17.48.211,open,"{""port"":139}"
2025-05-02 23:41:32,PORT,10.17.48.211,open,"{""port"":445}"
2025-05-02 23:41:32,PORT,10.17.48.211,open,"{""port"":135}"
2025-05-02 23:41:33,SERVICE,10.17.48.211,identified,"{""domain_name"":""WORKGROUP"",""mac"":""02:c9:45:24:09:17"",""port"":139,""server_service"":""DX-202409292307"",""workstation_service"":""DX-202409292307""}"
2025-05-02 23:41:35,PORT,10.17.33.19,open,"{""port"":139}"
2025-05-02 23:41:35,PORT,10.17.33.19,open,"{""port"":445}"
2025-05-02 23:41:35,PORT,10.17.33.19,open,"{""port"":135}"
2025-05-02 23:41:35,PORT,10.17.159.16,open,"{""port"":139}"
2025-05-02 23:41:35,PORT,10.17.159.16,open,"{""port"":445}"
2025-05-02 23:41:35,PORT,10.17.159.16,open,"{""port"":135}"
2025-05-02 23:41:37,PORT,10.17.232.13,open,"{""port"":135}"
2025-05-02 23:41:37,PORT,10.17.232.13,open,"{""port"":445}"
2025-05-02 23:41:37,PORT,10.17.232.13,open,"{""port"":139}"
2025-05-02 23:41:41,SERVICE,10.17.232.13,identified,"{""domain_name"":""WORKGROUP"",""mac"":""c0:b5:d7:21:7f:25"",""port"":139,""server_service"":""DESKTOP-ELE64UD"",""workstation_service"":""DESKTOP-ELE64UD""}"
2025-05-03 00:12:05,PORT,10.17.209.234,open,"{""port"":139}"
2025-05-03 00:12:05,PORT,10.17.209.234,open,"{""port"":445}"
2025-05-03 00:12:05,PORT,10.17.129.149,open,"{""port"":139}"
2025-05-03 00:12:05,PORT,10.17.129.149,open,"{""port"":445}"
2025-05-03 00:12:05,PORT,10.17.209.234,open,"{""port"":135}"
2025-05-03 00:12:05,PORT,10.17.129.149,open,"{""port"":135}"
2025-05-03 00:12:05,PORT,10.17.218.189,open,"{""port"":139}"
2025-05-03 00:12:05,PORT,10.17.218.189,open,"{""port"":135}"
2025-05-03 00:12:05,PORT,10.17.218.189,open,"{""port"":445}"
2025-05-03 00:12:05,PORT,10.17.49.146,open,"{""port"":139}"
2025-05-03 00:12:05,PORT,10.17.49.146,open,"{""port"":135}"
2025-05-03 00:12:05,PORT,10.17.49.146,open,"{""port"":445}"
2025-05-03 00:12:05,PORT,10.17.118.161,open,"{""port"":139}"
2025-05-03 00:12:05,PORT,10.17.118.161,open,"{""port"":445}"
2025-05-03 00:12:05,PORT,10.17.118.161,open,"{""port"":135}"
2025-05-03 00:12:08,PORT,10.17.4.135,open,"{""port"":139}"
2025-05-03 00:12:08,PORT,10.17.4.135,open,"{""port"":445}"
2025-05-03 00:12:08,PORT,10.17.4.135,open,"{""port"":135}"
2025-05-03 00:12:10,SERVICE,10.17.129.149,identified,"{""domain_name"":""WORKGROUP"",""mac"":""c8:5e:a9:79:d5:56"",""port"":139,""server_service"":""ZHUOZHUOHUA"",""workstation_service"":""ZHUOZHUOHUA""}"
2025-05-03 00:12:10,SERVICE,10.17.218.189,identified,"{""domain_name"":""WORKGROUP"",""mac"":""bc:f1:71:ac:42:4d"",""port"":139,""server_service"":""DESKTOP-7OSQB4O"",""workstation_service"":""DESKTOP-7OSQB4O""}"
2025-05-03 00:12:10,SERVICE,10.17.49.146,identified,"{""domain_name"":""WORKGROUP"",""mac"":""10:68:38:5a:d7:97"",""port"":139,""server_service"":""FUNNY"",""workstation_service"":""FUNNY""}"
2025-05-03 00:12:11,SERVICE,10.17.4.135,identified,"{""domain_name"":""WORKGROUP"",""mac"":""10:68:38:2e:60:3d"",""port"":139,""server_service"":""LAPTOP-QF5EN6LD"",""workstation_service"":""LAPTOP-QF5EN6LD""}"
2025-05-03 00:12:12,PORT,10.17.179.58,open,"{""port"":139}"
2025-05-03 00:12:12,PORT,10.17.179.58,open,"{""port"":445}"
2025-05-03 00:12:12,PORT,10.17.179.58,open,"{""port"":135}"
2025-05-03 00:12:12,SERVICE,10.17.179.58,identified,"{""domain_name"":""WORKGROUP"",""mac"":""14:5a:fc:03:71:ad"",""port"":139,""server_service"":""LAPTOP-105MF5UN"",""workstation_service"":""LAPTOP-105MF5UN""}"
2025-05-03 00:12:13,PORT,10.17.178.249,open,"{""port"":139}"
2025-05-03 00:12:13,PORT,10.17.244.152,open,"{""port"":139}"
2025-05-03 00:12:13,PORT,10.17.178.249,open,"{""port"":445}"
2025-05-03 00:12:13,PORT,10.17.244.152,open,"{""port"":445}"
2025-05-03 00:12:13,PORT,10.17.244.152,open,"{""port"":135}"
2025-05-03 00:12:13,PORT,10.17.178.249,open,"{""port"":135}"
2025-05-03 00:12:13,SERVICE,10.17.178.249,identified,"{""computer_name"":""LAPTOP-N13474RQ"",""domain_name"":""LAPTOP-N13474RQ"",""mac"":""cc:15:31:8b:d9:e0"",""netbios_computer"":""LAPTOP-N13474RQ"",""netbios_domain"":""LAPTOP-N13474RQ"",""os_version"":""Windows 10 Home China 26100"",""port"":139,""server_service"":""LAPTOP-N13474RQ"",""workstation_service"":""LAPTOP-N13474RQ""}"
2025-05-03 00:12:13,SERVICE,10.17.244.152,identified,"{""domain_name"":""WORKGROUP"",""mac"":""84:7b:57:4d:c9:ac"",""port"":139,""server_service"":""LAPTOP-PT8NABFC"",""workstation_service"":""LAPTOP-PT8NABFC""}"
2025-05-03 00:12:17,PORT,10.17.234.79,open,"{""port"":139}"
2025-05-03 00:12:17,PORT,10.17.234.79,open,"{""port"":445}"
2025-05-03 00:12:17,PORT,10.17.234.79,open,"{""port"":135}"
2025-05-03 00:12:17,PORT,10.17.134.24,open,"{""port"":139}"
2025-05-03 00:12:17,PORT,10.17.134.24,open,"{""port"":445}"
2025-05-03 00:12:17,PORT,10.17.134.24,open,"{""port"":135}"
2025-05-03 00:12:17,SERVICE,10.17.234.79,identified,"{""domain_name"":""WORKGROUP"",""mac"":""c8:cb:9e:06:70:75"",""port"":139,""server_service"":""DESKTOP-1NVGCGK"",""workstation_service"":""DESKTOP-1NVGCGK""}"
2025-05-03 00:12:17,SERVICE,10.17.134.24,identified,"{""domain_name"":""WORKGROUP"",""mac"":""f0:a6:54:c3:b3:2f"",""port"":139,""server_service"":""LAPTOP-VO1GK7GK"",""workstation_service"":""LAPTOP-VO1GK7GK""}"
2025-05-03 00:12:20,PORT,10.17.125.81,open,"{""port"":139}"
2025-05-03 00:12:20,PORT,10.17.125.81,open,"{""port"":445}"
2025-05-03 00:12:20,PORT,10.17.125.81,open,"{""port"":135}"
2025-05-03 00:12:20,SERVICE,10.17.125.81,identified,"{""domain_name"":""WORKGROUP"",""mac"":""f4:a4:75:80:cb:9a"",""port"":139,""server_service"":""DESKTOP-VFKEB1N"",""workstation_service"":""DESKTOP-VFKEB1N""}"
2025-05-03 00:12:21,PORT,10.17.69.33,open,"{""port"":445}"
2025-05-03 00:12:21,PORT,10.17.69.33,open,"{""port"":139}"
2025-05-03 00:12:21,PORT,10.17.69.33,open,"{""port"":135}"
2025-05-03 00:12:21,SERVICE,10.17.69.33,identified,"{""domain_name"":""WORKGROUP"",""mac"":""a8:64:f1:db:85:ad"",""port"":139,""server_service"":""LAPTOP-TD91G3HP"",""workstation_service"":""LAPTOP-TD91G3HP""}"
2025-05-03 00:12:25,PORT,10.17.61.226,open,"{""port"":139}"
2025-05-03 00:12:25,PORT,10.17.61.226,open,"{""port"":445}"
2025-05-03 00:12:25,PORT,10.17.234.125,open,"{""port"":139}"
2025-05-03 00:12:25,PORT,10.17.234.125,open,"{""port"":445}"
2025-05-03 00:12:25,PORT,10.17.61.226,open,"{""port"":135}"
2025-05-03 00:12:25,PORT,10.17.234.125,open,"{""port"":135}"
2025-05-03 00:12:25,SERVICE,10.17.61.226,identified,"{""domain_name"":""WORKGROUP"",""mac"":""d6:29:b9:8d:5f:a4"",""port"":139,""server_service"":""LAPTOP-JTVHBPBE"",""workstation_service"":""LAPTOP-JTVHBPBE""}"
2025-05-03 00:12:26,PORT,10.17.252.28,open,"{""port"":139}"
